"ranking_date","player_id","player_name","atp_rank","atp_points"
"20260525","144970","Constantin Bittoun Kouzmine","542","76"
"20260525","105938","Antoine Escoffier","543","75"
"20260525","211324","Mitsuki Wei Kang Leong","544","75"
"20260525","208126","John Echeverria","545","74"
"20260525","211898","Mae Malige","546","74"
"20260525","213001","Mika Petkovic","547","74"
"20260525","200070","Kirill Kivattsev","548","74"
"20260525","208819","Max Hans Rehberg","549","73"
"20260525","209140","Millen Hurrion","550","73"
"20260525","212174","Enzo Aguiard","551","72"
"20260525","210142","Olaf Pieczkowski","552","72"
"20260525","210714","Robin Catry","553","72"
"20260525","208328","Max Wiskandt","554","72"
"20260525","200014","Digvijaypratap Singh","555","72"
"20260525","131934","Andrea Vavassori","556","71"
"20260525","210556","Jakub Nicod","557","71"
"20260525","207793","Alec Deckers","558","71"
"20260525","202209","Imanol Lopez Morillo","559","71"
"20260525","200273","Hady Habib","560","70"
"20260525","202356","Tsung Hao Huang","561","70"
"20260525","210650","Stefan Adrian Andreescu","562","70"
"20260525","209251","Stefan Popovic","563","70"
"20260525","210223","Leonardo Rossi","564","70"
"20260525","200086","Toufik Sahtali","565","70"
"20260525","209185","Alessandro Pecci","566","69"
"20260525","209302","Peter Fajta","567","69"
"20260525","212258","Adhithya Ganesan","568","69"
"20260525","207484","Neil Oberleitner","569","68"
"20260525","209191","Oleksandr Ovcharenko","570","68"
"20260525","209510","Nino Ehrenschneider","571","68"
"20260525","200297","Aziz Ouakaa","572","68"
"20260525","212531","Nicolas Arseneault","573","67"
"20260525","106310","Alexander Ritschard","574","67"
"20260525","105944","Juan Sebastian Gomez","575","67"
"20260525","208044","Etienne Donnet","576","67"
"20260525","212051","Joaquin Aguilar Cardozo","577","67"
"20260525","126125","Maxime Janvier","578","67"
"20260525","106232","Roberto Cid","579","65"
"20260525","200096","Dragos Nicolae Madaras","580","65"
"20260525","208854","Aidan Mayo","581","65"
"20260525","144985","Ergi Kirkin","582","65"
"20260525","210726","Cesar Bouchelaghem","583","65"
"20260525","208605","Mario Gonzalez Fernandez","584","65"
"20260525","105077","Albert Ramos","585","64"
"20260525","200214","Alan Fernando Rubio Fierros","586","64"
"20260525","106072","Alexey Vatutin","587","64"
"20260525","132041","Alfredo Perez","588","64"
"20260525","207657","Tristan Mccormick","589","64"
"20260525","210599","Ryan Dickerson","590","64"
"20260525","212190","Karol Filar","591","64"
"20260525","210044","Bruno Kuzuhara","592","64"
"20260525","208586","Joshua Sheehy","593","63"
"20260525","202150","Dan Alexandru Tomescu","594","63"
"20260525","207907","Arda Azkara","595","63"
"20260525","212244","Gabriel Ghetu","596","63"
"20260525","207803","Igor Gimenez","597","63"
"20260525","132744","Alberto Barroso Campos","598","63"
"20260525","209278","Alec Beckley","599","62"
"20260525","134120","Kuan Yi Lee","600","62"
"20260525","212598","Emilien Demanet","601","62"
