player_id,player_name,country,is_active,atp_rank,atp_points,overall_elo,elo_rank,best_surface,matches,last_10_record,last_30_record
200416,August Holmgren,DEN,True,156.0,396.0,1543.2982124292523,298.0,Grass,14.0,6-4,8-6
210136,Mark Lajal,EST,True,157.0,386.0,1500.5385088465587,649.0,Grass,11.0,4-6,4-7
200514,Jurij Rodionov,AUT,True,158.0,379.0,1524.4431334235012,397.0,Hard,51.0,5-5,13-17
210389,Toby Samuel,GBR,True,159.0,378.0,1541.8722990736255,305.0,Clay,11.0,5-5,6-5
200259,Ugo Blanchet,FRA,True,160.0,376.0,1493.766050391987,788.0,Clay,15.0,4-6,5-10
208859,Francesco Passaro,ITA,True,161.0,372.0,1468.6138435012617,1483.0,Clay,37.0,3-7,11-19
144645,Zdenek Kolar,CZE,True,162.0,372.0,1467.1167744718616,1510.0,Clay,7.0,1-6,1-6
208134,Luca Nardi,ITA,True,163.0,366.0,1496.4058666396138,726.0,Hard,63.0,3-7,11-19
208119,Liam Draxl,CAN,True,164.0,364.0,1445.6162761417008,1789.0,Clay,8.0,1-7,1-7
208210,Chris Rodesch,LUX,True,165.0,359.0,1490.9406787846342,882.0,Hard,7.0,3-4,3-4
207352,Bu Yunchaokete,CHN,True,166.0,358.0,1492.0255733267857,842.0,Hard,59.0,3-7,9-21
127760,Lukas Klein,SVK,True,167.0,358.0,1515.328156509001,454.0,Clay,29.0,4-6,11-18
105777,Grigor Dimitrov,BUL,True,168.0,355.0,1684.094112211629,60.0,Hard,787.0,6-4,14-16
200711,Nicolas Mejia,COL,True,169.0,354.0,1489.3677649858882,939.0,Grass,21.0,6-4,7-14
212082,Joel Schwaerzler,AUT,True,170.0,351.0,1455.1683420478282,1691.0,Hard,8.0,1-7,1-7
202127,Clement Tabur,FRA,True,171.0,348.0,1526.031375725474,385.0,Grass,15.0,6-4,8-7
206748,Giulio Zeppieri,ITA,True,172.0,344.0,1443.1606393444883,1806.0,Grass,27.0,2-8,7-20
200436,Zsombor Piros,HUN,True,173.0,342.0,1491.1986331698108,870.0,Grass,15.0,4-6,6-9
106415,Yoshihito Nishioka,JPN,True,174.0,341.0,1570.647019392914,215.0,Hard,303.0,3-7,11-19
206750,Daniil Glinka,EST,True,175.0,340.0,1466.4700519288554,1526.0,Clay,5.0,1-4,1-4
210178,Juan Carlos Prado Angelo,BOL,True,176.0,338.0,1531.291339934132,356.0,Clay,11.0,6-4,7-4
206889,Clement Chidekh,FRA,True,177.0,335.0,1453.8395209975743,1707.0,Clay,4.0,0-4,0-4
106065,Marco Cecchinato,ITA,True,178.0,329.0,1525.7251488540119,388.0,Clay,211.0,4-6,14-16
144870,Federico Agustin Gomez,ARG,True,179.0,328.0,1504.3556560682775,583.0,Clay,15.0,5-5,6-9
111797,Nicolas Jarry,CHI,True,180.0,326.0,1538.6203653116868,323.0,Clay,246.0,4-6,10-20
202358,Chun Hsin Tseng,TPE,True,181.0,326.0,1369.9079222268417,2047.0,Grass,48.0,1-9,6-24
206904,Gauthier Onclin,BEL,True,182.0,325.0,1518.0993153850397,433.0,Grass,7.0,4-3,4-3
208293,Gonzalo Bueno,PER,True,183.0,325.0,1517.8572673787924,435.0,Clay,9.0,5-4,5-4
127339,Borna Gojo,CRO,True,184.0,323.0,1556.2140477487744,258.0,Hard,45.0,2-8,13-17
212256,Colton Smith,USA,True,185.0,322.0,1492.3880345097891,831.0,Grass,5.0,2-3,2-3
208361,Gustavo Heide,BRA,True,186.0,322.0,1442.3101584199846,1815.0,Grass,15.0,2-8,4-11
209903,Lukas Neumayer,AUT,True,187.0,319.0,1466.7806959940065,1517.0,Grass,12.0,4-6,4-8
126952,Soon Woo Kwon,KOR,True,188.0,317.0,1590.5332964626398,168.0,Hard,130.0,6-4,14-16
207608,Timofey Skatov,KAZ,True,189.0,314.0,1520.7887410175442,420.0,Clay,29.0,6-4,12-17
209875,Alex Barrena,ARG,True,190.0,309.0,1455.59181904916,1681.0,Grass,4.0,0-4,0-4
111200,Elias Ymer,SWE,True,191.0,308.0,1468.5692088937076,1485.0,Grass,123.0,4-6,9-21
208843,Jerome Kym,SUI,True,192.0,307.0,1550.1730488046185,274.0,Hard,14.0,6-4,8-6
200008,Alexis Galarneau,CAN,True,193.0,306.0,1529.3732110440155,365.0,Grass,17.0,5-5,8-9
106071,Bernard Tomic,AUS,True,194.0,304.0,1563.7440107332166,229.0,Hard,360.0,6-4,12-18
210053,Luka Mikrut,CRO,True,195.0,301.0,1464.2861779522977,1563.0,Grass,3.0,0-3,0-3
211533,Gianluca Cadenasso,ITA,True,196.0,296.0,1493.4676265499243,796.0,Clay,3.0,1-2,1-2
208852,Stefanos Sakellaridis,GRE,True,197.0,294.0,1488.7499023833523,971.0,Clay,13.0,4-6,5-8
206307,Joao Lucas Reis Da Silva,BRA,True,198.0,291.0,1480.3977294419208,1260.0,Clay,4.0,1-3,1-3
207729,Tristan Boyer,USA,True,199.0,287.0,1556.7463226427014,257.0,Hard,20.0,7-3,10-10
126663,Juan Pablo Ficovich,ARG,True,200.0,284.0,1493.3359651368282,801.0,Hard,13.0,4-6,5-8
212063,Matej Dodig,CRO,True,201.0,283.0,1483.1339529767004,1212.0,Grass,8.0,3-5,3-5
200677,Rio Noguchi,JPN,True,202.0,283.0,1479.6907696233902,1272.0,Hard,4.0,1-3,1-3
106148,Roberto Carballes Baena,ESP,True,203.0,282.0,1538.758550312543,320.0,Clay,297.0,5-5,11-19
211451,Gilles Arnaud Bailly,BEL,True,204.0,277.0,1468.5233882852071,1486.0,Clay,6.0,1-5,1-5
105554,Daniel Evans,GBR,True,205.0,273.0,1563.0840191494758,234.0,Hard,331.0,5-5,13-17
106293,Kimmer Coppejans,BEL,True,206.0,273.0,1424.8698499850098,1912.0,Grass,24.0,2-8,4-20
200318,Yu Hsiou Hsu,TPE,True,207.0,273.0,1486.5267562685026,1133.0,Hard,10.0,3-7,3-7
200329,Remy Bertola,SUI,True,208.0,273.0,1493.1815758134514,805.0,Grass,7.0,3-4,3-4
105841,Lorenzo Giustino,ITA,True,209.0,273.0,1445.0795134015837,1794.0,Grass,12.0,2-8,2-10
126964,Vitaliy Sachko,UKR,True,210.0,269.0,1481.7241145029425,1237.0,Hard,19.0,5-5,6-13
209911,Guy Den Ouden,NED,True,211.0,268.0,1488.2884360971073,1000.0,Hard,4.0,1-3,1-3
210510,Lautaro Midon,ARG,True,212.0,268.0,1507.6516090180473,536.0,Clay,6.0,3-3,3-3
111513,Laslo Djere,SRB,True,213.0,266.0,1545.6993229649604,288.0,Clay,326.0,4-6,11-19
208004,Harold Mayot,FRA,True,214.0,266.0,1464.0738507125657,1565.0,Grass,28.0,2-8,9-19
211514,Justin Engel,GER,True,215.0,266.0,,,,0.0,,
111581,Michael Mmoh,USA,True,216.0,265.0,1578.350301065202,197.0,Hard,77.0,4-6,16-14
212044,Yi Zhou,CHN,True,217.0,263.0,1494.0679950718077,779.0,Grass,16.0,5-5,6-10
104792,Gael Monfils,FRA,True,218.0,260.0,1609.9202155021667,135.0,Hard,928.0,4-6,11-19
106281,Liam Broady,GBR,True,219.0,260.0,1493.1584824415372,807.0,Hard,55.0,2-8,11-19
105732,Pierre Hugues Herbert,FRA,True,220.0,259.0,1513.65020784232,473.0,Hard,248.0,4-6,12-18
126409,Hugo Grenier,FRA,True,221.0,259.0,1452.719993259336,1718.0,Grass,28.0,2-8,8-20
207546,Pol Martin Tiffon,ESP,True,222.0,257.0,1487.2604783008658,1093.0,Grass,3.0,1-2,1-2
200748,Andres Andrade,ECU,True,223.0,257.0,1462.5930113682718,1591.0,Grass,3.0,0-3,0-3
111190,Zhizhen Zhang,CHN,True,224.0,254.0,1501.7577062966552,621.0,Clay,142.0,3-7,8-22
208364,Franco Roncadelli,URU,True,225.0,254.0,1507.3416024772193,538.0,Clay,5.0,3-2,3-2
144821,Genaro Alberto Olivieri,ARG,True,226.0,253.0,1498.5332311591417,692.0,Clay,7.0,3-4,3-4
207784,Harry Wendelken,GBR,True,227.0,253.0,1482.847530438763,1216.0,Clay,6.0,2-4,2-4
210167,Tom Gentzsch,GER,True,228.0,253.0,1505.625586544797,568.0,Clay,8.0,4-4,4-4
210464,Darwin Blanch,USA,True,229.0,252.0,1496.4039584460356,727.0,Clay,13.0,5-5,5-8
200385,Dan Added,FRA,True,230.0,252.0,1477.3718405098755,1329.0,Hard,2.0,0-2,0-2
200462,Andrea Guerrieri,ITA,True,231.0,251.0,1502.189600094384,611.0,Grass,4.0,2-2,2-2
210220,Edas Butvilas,LTU,True,232.0,251.0,1463.0518584721513,1584.0,Hard,6.0,1-5,1-5
208046,Pedro Boscardin Dias,BRA,True,233.0,249.0,1490.71287883111,891.0,Clay,3.0,1-2,1-2
210317,James Mccabe,AUS,True,234.0,247.0,1478.1384638415605,1303.0,Grass,13.0,4-6,4-9
207663,Nikolas Sanchez Izquierdo,ESP,True,235.0,247.0,1485.9322253307512,1150.0,Clay,4.0,1-3,1-3
208069,Max Houkes,NED,True,236.0,245.0,1468.1001273538466,1498.0,Clay,3.0,0-3,0-3
106393,Frederico Ferreira Silva,POR,True,237.0,245.0,1439.8476184347348,1833.0,Hard,12.0,2-8,2-10
210748,Federico Cina,ITA,True,238.0,242.0,1531.848041907453,350.0,Clay,22.0,6-4,11-11
134840,Raul Brancaccio,ITA,True,239.0,242.0,1454.5832110214783,1697.0,Grass,4.0,0-4,0-4
208269,Felix Gill,GBR,True,240.0,240.0,1479.9131051222346,1266.0,Clay,6.0,2-4,2-4
202146,Luka Pavlovic,FRA,True,241.0,237.0,1523.2067052199009,405.0,Clay,7.0,4-3,4-3
208279,Alejandro Moro Canas,ESP,True,242.0,234.0,1505.0795493237706,573.0,Clay,9.0,4-5,4-5
200610,Oliver Crawford,GBR,True,243.0,233.0,1471.3850443861622,1447.0,Clay,3.0,0-3,0-3
202333,Keegan Smith,USA,True,244.0,231.0,1499.6694862262598,662.0,Grass,2.0,1-1,1-1
210119,Andrej Nedic,BIH,True,245.0,230.0,,,,0.0,,
109303,Stefano Napolitano,ITA,True,246.0,227.0,1465.260826134632,1549.0,Hard,12.0,2-8,3-9
