player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104533,Tomislav Hadzic,Tomislav,Hadzic,R,19850402.0,CRO,,,,,,,,,0,0,0,0,0-0,,False
104535,Daniel Garza,Daniel,Garza,R,19850408.0,MEX,,Q5217251,,,,,,,0,0,0,0,0-0,,False
104536,Andrew Roberts,Andrew,Roberts,R,19850409.0,AUS,,,,,,,,,0,0,0,0,0-0,,False
104537,Dejan Cvetkovic,Dejan,Cvetkovic,R,19850413.0,CAN,,,,,,,,,0,0,0,0,0-0,,False
104538,Joaquin Jesus Monteferrario,Joaquin Jesus,Monteferrario,R,19850413.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104539,Stephen Bass,Stephen,Bass,U,19850413.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104540,Chris Kwon,Chris,Kwon,R,19850416.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104541,Mark Fynn,Mark,Fynn,R,19850416.0,ZIM,183.0,Q18043897,,,,,,,0,0,0,0,0-0,,False
104543,Pablo Figueroa,Pablo,Figueroa,R,19850418.0,SWE,,,,,,,,,0,0,0,0,0-0,,False
104544,Ricardo Villacorta Alonso,Ricardo,Villacorta Alonso,R,19850424.0,ESP,,Q16302920,,,,,,,0,0,0,0,0-0,,False
104546,Adrian Szatmary,Adrian,Szatmary,R,19850427.0,HUN,,,,,,,,,0,0,0,0,0-0,,False
104549,Martin Schulhauser,Martin,Schulhauser,U,19850505.0,CZE,,,,,,,,,0,0,0,0,0-0,,False
104551,Gero Kretschmer,Gero,Kretschmer,R,19850506.0,GER,,Q5552369,,,,,,,0,0,0,0,0-0,,False
104552,Juan Francisco Spina,Juan Francisco,Spina,U,19850508.0,ARG,,Q99942052,,,,,,,0,0,0,0,0-0,,False
104553,Chris Letcher,Chris,Letcher,R,19850511.0,AUS,,Q16548831,,,,,,,0,0,0,0,0-0,,False
104554,Shane La Porte,Shane,La Porte,R,19850512.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104555,Dylan Seong Kwan Kim,Dylan Seong Kwan,Kim,R,19850513.0,KOR,,,,,,,,,0,0,0,0,0-0,,False
104556,Alexander Perfilov,Alexander,Perfilov,R,19850517.0,RUS,,,,,,,,,0,0,0,0,0-0,,False
104557,Andis Juska,Andis,Juska,R,19850522.0,LAT,,Q492136,,,,,,,0,0,0,0,0-0,,False
104558,Mohammed Abdulla,Mohammed,Abdulla,U,19850523.0,QAT,,,,,,,,,0,0,0,0,0-0,,False
104560,Nima Roshan,Nima,Roshan,U,19850524.0,AUS,,,,,,,,,0,0,0,0,0-0,,False
104561,Jae Sung An,Jae Sung,An,R,19850528.0,KOR,,Q16010684,,,,,,,0,0,0,0,0-0,,False
